Strategy Name,Number of Trades,Average Profit %,Total Profit %,Net Profit USDT,Net Profit %,Average Duration,Win/Draw/Loss Win%,Drawdown,Sharpe
AlligatorStrategy_1h,127,4.62,586.67,15493.423,154.93,4 days 2:16:00,53     0    74  41.7,4889.601 USDT  33.68%,2.82
ElliotV8_original_ichiv2_1h,534,0.7,372.84,8733.05,87.33,14:59:00,490     0    44  91.8,6985.903 USDT  44.25%,4.99
Ichimoku_v32_1h,63,8.62,543.24,6354.542,63.55,13 days 17:53:00,21     0    42  33.3,4425.798 USDT  42.83%,1.02
NASOSv4_1h,631,0.06,38.25,-109.236,-1.09,10:34:00,351     0   280  55.6,6302.451 USDT  52.60%,-0.13
NotAnotherSMAOffsetStrategyHOv3_1h,408,0.86,349.63,9048.514,90.49,13:05:00,335     0    73  82.1,3113.238 USDT  21.40%,6.23
PrawnstarOBV_1h,798,0.96,765.18,21632.848,216.33,1 day 5:14:00,635     1   162  79.6,13659.664 USDT  63.23%,7.65
SupertrendStrategy_1h,243,1.73,419.79,10149.316,101.49,2 days 15:25:00,100     0   143  41.2,5104.896 USDT  34.89%,3.07
AlligatorStrategy_4h,36,15.59,561.15,13142.573,131.43,14 days 15:33:00,19     0    17  52.8,2401.296 USDT  17.74%,1.03
ElliotV8_original_ichiv2_4h,448,0.38,170.18,2506.022,25.06,15:17:00,404     0    44  90.2,9205.277 USDT  55.65%,1.52
Ichimoku_v32_4h,17,27.67,470.38,7042.689,70.43,44 days 11:04:00,8     0     9  47.1,3257.791 USDT  35.07%,0.37
NotAnotherSMAOffsetStrategyHOv3_4h,333,1.09,363.75,9048.505,90.49,23:07:00,287     0    46  86.2,5362.564 USDT  32.50%,4.82
PrawnstarOBV_4h,651,1.09,709.77,21217.601,212.18,1 day 9:03:00,515     1   135  79.1,12096.247 USDT  60.21%,7.71
SupertrendStrategy_4h,58,12.12,702.8,14391.753,143.92,11 days 3:48:00,31     0    27  53.4,4716.93 USDT  31.19%,1.29
AlligatorStrategy_5m,1659,0.07,123.26,1734.622,17.35,6:45:00,482     0  1177  29.1,2992.103 USDT  24.54%,2.17
ElliotV8_original_ichiv2_5m,351,1.44,505.92,15952.388,159.52,5:48:00,336     0    15  95.7,3014.277 USDT  15.70%,7.82
Ichimoku_v32_5m,802,0.27,212.95,2000.008,20.0,1 day 2:41:00,305     0   497  38.0,7668.159 USDT  55.98%,1.28
NASOSv4_5m,351,0.23,82.03,1500.634,15.01,2:55:00,222     0   129  63.2,1589.694 USDT  13.85%,1.52
NASOSv5_mod1_5m,121,1.68,203.4,4360.202,43.6,8:17:00,113     0     8  93.4,2563.085 USDT  24.34%,2.65
NASOSv5_mod3_5m,166,2.35,390.71,11281.801,112.82,7:55:00,159     0     7  95.8,1555.256 USDT  11.79%,6.21
NotAnotherSMAOffsetStrategyHOv3_5m,195,1.38,269.9,6954.644,69.55,2:19:00,162     0    33  83.1,553.707 USDT  3.56%,7.83
PrawnstarOBV_5m,900,0.83,750.49,20076.194,200.76,1 day 2:43:00,728     1   171  80.9,11220.203 USDT  53.60%,7.51
SupertrendStrategy_5m,3377,-0.1,-328.73,-5559.368,-55.59,4:22:00,1027     0  2350  30.4,7439.395 USDT  62.86%,-11.21
AlligatorStrategy_15m,531,0.68,359.65,8981.545,89.82,22:13:00,189     0   342  35.6,3828.35 USDT  18.18%,4.78
ElliotV8_original_ichiv2_15m,499,0.74,371.15,9504.51,95.05,13:49:00,466     0    33  93.4,4412.674 USDT  20.03%,5.01
Ichimoku_v32_15m,267,1.19,317.29,4144.953,41.45,3 days 7:41:00,105     0   162  39.3,7250.063 USDT  59.07%,1.58
NASOSv4_15m,577,0.43,247.29,5733.504,57.34,6:11:00,404     0   173  70.0,2141.316 USDT  13.51%,5.11
NASOSv5_mod1_15m,214,1.91,408.11,10933.822,109.34,13:13:00,201     0    13  93.9,4039.867 USDT  27.44%,4.72
NASOSv5_mod3_15m,240,2.03,486.91,14401.071,144.01,16:41:00,226     0    14  94.2,3455.779 USDT  23.47%,6.21
NotAnotherSMAOffsetStrategyHOv3_15m,299,0.96,288.15,7560.957,75.61,5:23:00,233     0    66  77.9,828.757 USDT  4.77%,7.48
PrawnstarOBV_15m,855,0.91,779.94,22927.72,229.28,1 day 3:58:00,687     3   165  80.4,12032.895 USDT  58.01%,8.12
SupertrendStrategy_15m,1030,0.25,257.46,4753.711,47.54,14:33:00,352     0   678  34.2,3985.661 USDT  29.92%,3.45
