Strategy Name,Number of Trades,Average Profit %,Total Profit %,Net Profit USDT,Net Profit %,Average Duration,Win/Draw/Loss Win%,Drawdown,Sharpe
AlligatorStrategy_1h,146,6.06,885.41,26131.135,261.31,4 days 1:00:00,56     0    90  38.4,3389.833 USDT  8.96%,3.07
ElliotV8_original_ichiv2_1h,583,1.09,635.22,22575.08,225.75,16:12:00,527     0    56  90.4,8928.769 USDT  23.65%,9.1
Ichimoku_v32_1h,54,26.85,1449.68,33076.773,330.77,16 days 13:26:00,29     0    25  53.7,1270.244 USDT  10.19%,1.33
NASOSv4_1h,723,0.29,209.23,4036.689,40.37,10:01:00,403     0   320  55.7,3327.316 USDT  20.03%,3.94
NotAnotherSMAOffsetStrategyHOv3_1h,474,1.18,561.39,19131.149,191.31,11:28:00,394     0    80  83.1,2610.218 USDT  13.23%,9.76
PrawnstarOBV_1h,756,1.0,755.26,24335.383,243.35,1 day 6:45:00,587     1   168  77.6,8546.401 USDT  25.02%,8.59
SupertrendStrategy_1h,246,2.86,702.49,17954.84,179.55,2 days 19:37:00,101     0   145  41.1,4914.651 USDT  15.73%,3.14
AlligatorStrategy_4h,33,48.41,1597.49,36057.026,360.57,20 days 9:42:00,16     0    17  48.5,1216.002 USDT  12.48%,1.17
ElliotV8_original_ichiv2_4h,372,1.09,404.08,11029.228,110.29,19:22:00,338     0    34  90.9,4486.186 USDT  21.27%,6.62
Ichimoku_v32_4h,12,186.68,2240.17,43568.174,435.68,71 days 7:40:00,8     0     4  66.7,686.764 USDT  7.04%,0.63
NotAnotherSMAOffsetStrategyHOv3_4h,305,1.09,333.22,8248.282,82.48,22:00:00,265     0    40  86.9,5077.625 USDT  24.13%,4.53
PrawnstarOBV_4h,656,1.03,676.77,19747.407,197.47,1 day 8:35:00,469     0   187  71.5,8699.501 USDT  27.39%,6.78
SupertrendStrategy_4h,63,16.66,1049.35,22622.042,226.22,11 days 8:34:00,19     0    44  30.2,2965.552 USDT  30.32%,1.48
AlligatorStrategy_5m,1758,0.24,421.65,10323.679,103.24,6:57:00,546     0  1212  31.1,3687.279 USDT  15.98%,9.26
ElliotV8_original_ichiv2_5m,500,1.12,561.25,19857.901,198.58,6:36:00,466     0    34  93.2,2715.811 USDT  9.53%,11.53
Ichimoku_v32_5m,756,1.13,857.52,27648.96,276.49,1 day 4:44:00,279     0   477  36.9,5729.954 USDT  14.72%,7.37
NASOSv4_5m,499,0.47,234.72,5650.629,56.51,3:01:00,356     0   143  71.3,1485.39 USDT  9.76%,5.29
NASOSv5_mod1_5m,175,2.64,462.69,14748.046,147.48,6:29:00,168     0     7  96.0,1107.414 USDT  5.96%,11.32
NASOSv5_mod3_5m,179,2.74,491.06,16139.056,161.39,5:45:00,174     0     5  97.2,1136.024 USDT  5.96%,12.37
NotAnotherSMAOffsetStrategyHOv3_5m,284,0.88,250.4,6243.797,62.44,2:30:00,234     0    50  82.4,1353.125 USDT  9.04%,5.6
PrawnstarOBV_5m,810,0.82,661.66,18131.653,181.32,1 day 5:33:00,664     0   146  82.0,5358.811 USDT  19.18%,7.64
SupertrendStrategy_5m,3557,0.0,4.95,-1312.773,-13.13,4:16:00,1158     0  2399  32.6,5610.782 USDT  55.32%,-3.06
AlligatorStrategy_15m,601,1.05,630.06,19748.076,197.48,21:08:00,199     0   402  33.1,3458.066 USDT  10.54%,7.22
ElliotV8_original_ichiv2_15m,645,1.01,651.43,24272.025,242.72,11:27:00,588     0    57  91.2,3603.757 USDT  19.57%,11.27
Ichimoku_v32_15m,238,3.49,831.66,24056.034,240.56,3 days 19:27:00,97     0   141  40.8,3097.542 USDT  11.06%,4.38
NASOSv4_15m,727,0.35,253.83,5771.408,57.71,5:37:00,482     0   245  66.3,1893.879 USDT  18.24%,5.72
NASOSv5_mod1_15m,293,2.46,721.61,30996.504,309.97,20:37:00,277     0    16  94.5,2454.183 USDT  5.77%,11.4
NASOSv5_mod3_15m,257,2.26,581.96,21158.12,211.58,1 day 0:40:00,235     0    22  91.4,1868.423 USDT  5.83%,10.53
NotAnotherSMAOffsetStrategyHOv3_15m,458,1.07,490.23,15964.71,159.65,5:17:00,372     0    86  81.2,1527.735 USDT  5.56%,12.06
PrawnstarOBV_15m,810,0.81,653.97,17862.617,178.63,1 day 5:23:00,648     1   161  80.0,6145.595 USDT  21.69%,7.57
SupertrendStrategy_15m,1103,0.57,631.68,18818.583,188.19,13:58:00,375     0   728  34.0,4881.619 USDT  15.55%,8.53
