Strategy Name,Number of Trades,Average Profit %,Total Profit %,Net Profit USDT,Net Profit %,Average Duration,Win/Draw/Loss Win%,Drawdown
ADXMomentum,1501,0.01,19.24,-1043.943,-10.44,24.3167 hours,1443     0    58  96.1,5010.164 USDT  41.28%
ADX_15M_USDT2,363,-0.52,-189.14,-3426.513,-34.27,72.3833 hours,90   256    17  24.8,4670.403 USDT  42.30%
ADX_15M_USDT,216,-1.18,-254.77,-4036.073,-40.36,24.1167 hours,37   152    27  17.1,4094.087 USDT  40.94%
ASDTSRockwellTrading,1604,0.34,552.51,14640.944,146.41,24.5 hours,1308     0   296  81.5,16643.929 USDT  46.47%
ActionZone,306,10.88,3329.39,3647.798,36.48,360.6 hours,100     0   206  32.7,337.2 USDT  2.54%
AdxSmas,387,-0.08,-31.07,-3368.047,-33.68,240.433 hours,236     0   151  61.0,13232.777 USDT  73.67%
AlligatorStrat,546,1.10,600.48,15483.611,154.84,120.817 hours,288     0   258  52.7,11752.335 USDT  36.83%
AlligatorStrategy,41,71.86,2946.07,68995.415,689.95,2160.93 hours,16     0    25  39.0,9775.748 USDT  18.86%
AlwaysBuy,876,-3.41,-2987.20,-9980.052,-99.80,23.8833 hours,187     0   689  21.3,10324.769 USDT  99.81%
Apollo11,149,-0.99,-147.32,-2864.498,-28.64,96.7167 hours,69     0    80  46.3,4991.434 USDT  47.85%
AverageStrategy,263,4.30,1130.03,37085.634,370.86,360.017 hours,85     0   178  32.3,60408.504 USDT  66.76%
AwesomeMacd,138,2.20,303.37,7017.104,70.17,264.517 hours,95     0    43  68.8,3241.554 USDT  17.96%
BBRSI21,14,5.11,71.53,1488.904,14.89,24 hours,4    10     0   100,0 USDT  0.00%
BBRSI2,247,-2.20,-543.38,-6772.090,-67.72,48.1833 hours,53   152    42  21.5,7074.244 USDT  68.73%
BBRSI3366,345,-0.46,-158.25,-3583.474,-35.83,48.3333 hours,83   200    62  24.1,4865.776 USDT  43.48%
BBRSI4cust,192,-1.40,-268.44,-4170.214,-41.70,6.63333 hours,160     0    32  83.3,4290.937 USDT  42.73%
BBRSINaiveStrategy,484,-1.16,-560.73,-6858.324,-68.58,23.1 hours,349     0   135  72.1,8489.633 USDT  74.46%
BBRSIOptim2020Strategy,99,0.42,41.36,388.039,3.88,48.5833 hours,29    62     8  29.3,2757.598 USDT  21.73%
BBRSIOptimStrategy,373,-0.80,-299.82,-5182.377,-51.82,72.5 hours,86   265    22  23.1,5877.934 USDT  55.36%
BBRSIOptimizedStrategy,99,1.06,105.17,1923.671,19.24,48.55 hours,32    61     6  32.3,2462.515 USDT  17.61%
BBRSIStrategy,902,-1.13,-1022.97,-9231.269,-92.31,72.2833 hours,195   658    49  21.6,10102.765 USDT  93.34%
BBRSITV,140,1.68,235.18,4492.783,44.93,264 hours,105     0    35  75.0,3143.729 USDT  21.98%
BBRSIoriginal,98,1.27,124.70,2521.797,25.22,96.4333 hours,40    54     4  40.8,2339.459 USDT  15.90%
BBRSIv2,18,2.21,39.84,810.645,8.11,408.667 hours,11     0     7  61.1,100.757 USDT  1.00%
BB_RPB_TSL_RNG,622,0.10,59.66,86.683,0.87,24.3167 hours,201     0   421  32.3,8449.408 USDT  47.96%
BB_RPB_TSL_RNG_2,622,0.11,65.35,204.300,2.04,24.5167 hours,201     0   421  32.3,8366.668 USDT  47.49%
BB_RPB_TSL_RNG_TBS,622,0.10,59.66,86.683,0.87,24.3167 hours,201     0   421  32.3,8449.408 USDT  47.96%
BB_RPB_TSL_RNG_TBS_GOLD,857,-1.25,-1071.66,-8850.580,-88.51,6.05 hours,139     0   718  16.2,9149.134 USDT  88.90%
BB_RPB_TSL_RNG_VWAP,564,-0.75,-421.00,-6159.922,-61.60,24.6333 hours,134     0   430  23.8,7101.589 USDT  67.18%
BB_RSI,1192,-2.60,-3095.14,-9978.610,-99.79,7 hours,19   214   959   1.6,9957.54 USDT  99.79%
BB_Strategy04,183,0.41,75.59,564.852,5.65,72.7833 hours,98    70    15  53.6,7334.424 USDT  43.33%
BBandsRSI,209,-1.45,-303.11,-4566.115,-45.66,3.1 hours,0   189    20     0,4566.115 USDT  45.66%
